_150210	0.000	1	1.00	1	1 7231964 {text}
_Journal_year	0.002	1	1.00	1	11 4062503 2004
_Publ_section_title	0.000	1	1.00	1	1 4000397 {text}
_[local]_atom_site_publication_n	0.000	17	17.00	17	8 6000235 0.5	6 6000235 1.0	3 6000235 0.25
_[local]_bilbao_database_code	0.001	1	1.00	1	1 4331457 7622EyltwI	1 4331461 7632EHxUJP	1 4331462 7642ERK6cb	1 4331463 7672EIOKda	1 4331460 7682EhswuI	1 4331459 7692EnEyxG	1 4331458 7702ErUBnh
_[local]_diffrn_data_points	0.000	1	1.00	1	1 1542303 7500
_[local]_theoretical_method_dft_basis-functions	0.000	1	1.00	1	1 3000024 APW+lo
_[local]_theoretical_method_dft_functional	0.000	1	1.00	1	1 3000024 PBE
_[local]_theoretical_method_dft_method	0.000	1	1.00	1	1 3000024 all-electron
_[local]_theoretical_structure_prediction_strategy	0.000	1	1.00	1	1 3000024 evolutionary algorithm
__audit_creation_method	0.000	1	1.00	1	2 4515830 CrysAlisPro 1.171.38.46 (Rigaku OD, 2015)
__cell_measurement_temperature	0.000	1	1.00	1	1 7046270 100(2)
__chemical_name_common	0.000	1	1.00	1	1 1550560 16244_Complex-3-THF
__computing_data_collection	0.001	1	1.00	1	1 1502224 {text}	3 4024958 {line}
__computing_structure_refinement	0.000	1	1.00	1	1 4084808 {text}
__diffrn_radiation_type	0.000	1	1.00	1	1 7105337 synchrotron
__diffrn_reflns_av_r_equivalents	0.000	1	1.00	1	1 1507514 0.0447
__diffrn_reflns_av_uneti/neti	0.001	1	1.00	1	1 7033032 0.0730	1 7033030 0.0759	1 7033034 0.0909	1 7033033 0.0925	1 7033035 0.1005	1 7033031 0.1026
__exptl_absorpt_correction_t_min	0.000	1	1.00	1	1 7204931 0.442433
__exptl_absorpt_correction_type	0.000	1	1.00	1	1 4309520 integration
__exptl_crystal_density_method	0.000	1	1.00	1	2 7019738 not measured
__exptl_crystal_description	0.000	1	1.00	1	1 7105247 fragment
__nottingham_internal_coll_name	0.000	1	1.00	1	1 7122566 UAAALA
__refine_ls_r_factor_gt	0.000	1	1.00	1	1 7238066 0.0800
__reflns_friedel_coverage	0.000	1	1.00	1	1 4517194 0.000
__shelx_res_file	0.000	1	1.00	1	1 7224994 {text}
__shelxl_version_number	0.000	1	1.00	1	1 1531937 2014/6
_`cial_details	0.000	1	1.00	1	1 7040669 {text}
_absolute_chemical_configuration	0.000	1	1.00	1	2 7035333 rmad
_absolute_configuration_of_chiral_atoms	0.001	1	1.00	1	1 7042362 C13(R)	1 7037247 c13(R)	1 7037245 c13(R); c43(R)	1 7037248 c13(S)	1 7037246 c13(S); c43(S)
_absolute_structure_configuration	0.000	1	1.00	1	1 7215351 unk
_absorpt_process_ref	0.000	1	1.00	1	2 7051011 {text}
_abstract	0.000	1	1.00	1	1 7010650 {text}
_additional_information_molecular_formula	0.000	1	1.00	1	1 4130335 {text}
_addsym_pseudo/new_space_group	0.000	1	1.00	1	1 7220752 Pbca
_alert_a_response_comment	0.000	1	1.00	1	1 4064031 {text}
_alert_c_comments_reply_lhd324	0.000	1	1.00	1	1 4334599 {text}
_alert_comments	0.001	1	1.00	1	3 4078931 {text}
_alert_comments_	0.001	1	1.00	1	3 4079380 {text}
_alert_response	0.001	1	1.00	1	7 7017790 {text}
_amcsd_database_code	0.011	1	1.00	1	52 2001431 {word}
_amcsd_formula_title	0.200	1	1.00	1	643 9014012 {line}	300 9014016 {word}
_atom_dummy_fract_x	0.005	1	2.29	5	55 1501756 {-0.3351 - 0.881}
